t,o,c,h,l,v
1132614000,53.6,54.1,54.3,53.2,70632
1132700400,53.3,53.9,54.1,53.3,46225
1132786800,53.3,54.1,54.3,53.3,48183
1132873200,53.5,54.2,54.2,53.5,30122
1133132400,54,54.2,54.3,53.8,24278
1133218800,54.1,56,56.3,54,68072
1133305200,55.8,56.5,56.5,55.3,21828
1133391600,56,55.9,56.9,55.8,10514
1133478000,56,56,56.2,55.7,22767
1133737200,55.9,56,56,55.1,26502
1133823600,55.2,56,56,55.1,27948
1133910000,55.5,56,56,55.2,47085
1133996400,56,55.6,56,55.2,7926
1134082800,55.5,55.2,55.5,54.9,30764
1134342000,55.8,55,55.8,54.5,13504
1134428400,54.6,54.4,54.6,54.1,10317
1134514800,54,54.5,54.5,54,16341
1134601200,54.5,54.5,54.5,53.9,19158
1134687600,54.2,54.5,54.6,54.1,8723
1134946800,54.5,54,54.5,54,12829
1135033200,54,54.3,54.4,53.9,17328
1135119600,54.1,54.7,54.7,54.1,12209
1135206000,54.3,54.5,55,54.1,19797
1135292400,54.7,54.7,54.7,54.2,9308
1135638000,54.3,54.4,54.4,54.2,23178
1135724400,54.2,54.5,54.5,54.2,9209
1135810800,54.3,54.5,54.5,54.3,16589
1135897200,54.2,54.6,54.6,54.1,12021
1136156400,54.3,54,54.3,53.2,12797
1136242800,53.9,54,54.1,53.6,53214
1136329200,54,54.1,54.2,53.9,37616
1136415600,54,54.1,54.2,53.9,28152
1136502000,53.9,54.4,54.4,53.9,34346
1136761200,54.7,54.2,54.8,54,10254
1136847600,54,54.2,54.2,53.9,13038
1136934000,54,54.5,54.6,54,21263
1137020400,54.4,55.5,55.5,54.4,33349
1137106800,55.5,55.4,55.5,54.8,14111
1137366000,55.8,55.6,55.9,55.5,10523
1137452400,55.5,55.3,55.5,55,9633
1137538800,54,58.1,58.7,54,168215
1137625200,59.3,61.4,61.9,59.3,245494
1137711600,61.9,67.6,68.7,61.9,301928
1137970800,65.3,65.5,66.5,64,170848
1138057200,65,64.5,65.5,64.5,91277
1138143600,64.5,66.2,66.4,64.5,301179
1138230000,66.2,65,66.2,64.5,24916
1138316400,64.5,64.6,65,64.5,15963
1138575600,64.1,65.1,65.2,64,14457
1138662000,64.5,65,65,64.2,28525
1138748400,64.2,64.9,64.9,64.2,10911
