t,o,c,h,l,v
1214776800,18.85,15.99,18.85,15.99,52328
1214863200,16,14.74,16,14.4,75575
1214949600,14.79,15.42,15.92,14.79,3119
1215036000,15.33,15.2,15.54,15,8385
1215122400,15.5,15.01,15.5,15.01,8566
1215381600,15.31,15.14,15.31,14.7,6771
1215468000,14.95,14.49,14.95,14.12,16666
1215554400,14.48,14.81,14.81,14.48,8098
1215640800,14.81,14.61,14.94,14.48,8338
1215727200,14.94,14.6,14.94,14.51,6765
1215986400,14.93,14.9,15.05,14.51,1555
1216072800,14.9,13.74,14.9,13.6,7156
1216159200,13.1,13.19,13.19,12.75,12549
1216245600,13.3,13.53,13.55,12.99,10163
1216332000,13.64,14,14,13,15489
1216591200,14,14.97,15,13.7,12914
1216677600,14.95,14.94,14.96,14.6,13467
1216764000,14.96,16.39,16.61,14.96,34950
1216850400,16.4,16.1,16.7,15.99,14003
1216936800,15.97,16,16.02,15.36,4725
1217196000,16.88,16.19,16.88,15.85,9847
1217282400,16,16.09,16.2,15.75,7797
1217368800,15.85,16.18,16.34,15.85,7809
1217455200,16.07,16.32,16.4,16.07,10484
1217541600,16.29,16.01,16.4,16,11510
1217800800,16.39,16,16.39,15.85,5642
1217887200,16,15.96,16,15.57,13503
1217973600,16,16.09,16.39,15.95,7830
1218060000,16.2,16.33,16.35,16.19,16383
1218146400,16.2,16.3,16.3,16.1,38235
1218405600,16.38,16.21,16.42,16.18,8024
1218492000,16.23,16.27,16.39,16.23,3678
1218578400,16.39,17.29,17.43,16.39,75904
1218664800,17.31,17.22,17.79,17.16,65673
1219010400,17.19,16.54,17.19,16.4,6943
1219096800,16.39,16.1,16.39,16.01,25891
1219183200,16,15.92,16.59,15.9,12621
1219269600,15.79,15.75,16,15.55,24874
1219356000,16.03,15.8,16.03,15.7,30951
1219615200,15.8,15.8,15.99,15.67,8876
1219701600,15.8,15.7,15.95,15.7,79845
1219788000,15.6,15.75,15.76,15.6,5718
1219874400,15.71,15.5,15.71,15.3,18623
1219960800,15.69,15.5,15.69,15.36,4521
1220220000,15.59,15.45,15.59,15.02,11658
1220306400,15.44,15.6,15.6,15.06,17872
1220392800,15.89,15.94,15.99,15.6,13404
1220479200,15.93,15.7,15.93,15.67,6965
1220565600,15.7,15.3,15.7,15.23,13481
1220824800,15.65,15.11,15.65,15.02,17170
1220911200,15.11,15.2,15.3,14.6,9664
1220997600,15.35,15,15.35,14.9,14302
1221084000,15.1,15.05,15.16,14.85,2368
1221170400,15.1,14.83,15.1,14.81,15541
1221429600,14.8,14.01,14.8,14,15819
1221516000,13.99,13.97,14.12,13.6,12587
1221602400,14.05,13.8,14.05,13.7,16801
1221688800,13.65,13.94,13.95,13.5,17756
1221775200,14.2,14.59,14.65,14.2,108466
1222034400,14.7,14.1,14.7,14.1,13939
1222120800,14.1,14.05,14.1,13.6,17400
1222207200,14.05,13.91,14.05,13.9,4116
1222293600,14.05,14,14.05,13.9,4005
1222380000,14.05,13.98,14.05,13.83,59678
1222639200,14.05,13.52,14.05,13.52,34062
1222725600,13.1,13,13.25,12.8,57653
1222812000,13,13.45,13.57,13,11524
1222898400,13.45,12.85,13.45,12.85,6855
1222984800,13,12.27,13,12.05,28910
1223244000,12.2,10.74,12.2,10.5,56960
1223330400,10.7,9.7,10.82,9.65,122919
1223416800,9.2,9.38,9.5,8.71,166417
1223503200,9.43,9.45,9.7,9.38,27639
1223589600,8.99,8.95,9.05,8.71,52666
1223848800,9.15,9.29,9.35,9.02,48936
1223935200,9.69,10.17,10.45,9.69,277586
1224021600,10.36,9.85,10.36,9.77,32752
1224108000,9.51,9.73,9.8,9.22,32222
1224194400,9.83,10.05,10.28,9.66,28870
1224453600,10.25,10.36,10.36,9.96,20437
1224540000,10.4,10.4,10.63,10.25,12957
1224626400,10.05,10.1,10.3,10.05,9893
1224712800,10.4,10.1,10.4,10.01,22960
1224799200,10.07,10.07,10.07,9.65,34032
1225062000,10,9.8,10,9.61,13281
1225148400,9.9,9.95,10.1,9.81,7565
1225234800,10.1,10.2,10.35,10.1,32408
1225321200,10.6,10.55,10.6,10.2,28275
1225407600,10.59,10.7,10.7,10.24,17386
1225666800,10.57,10.81,10.97,10.5,26617
1225753200,10.95,11.15,11.29,10.81,14400
1225839600,11.44,10.9,11.44,10.85,10778
1225926000,10.5,10.57,10.69,10.4,8035
1226012400,10.15,10.74,10.8,10.15,6586
1226271600,10.68,10.26,10.78,10.26,6122
1226444400,10.63,9.63,10.63,9.6,21371
1226530800,9.5,9.6,9.65,9.01,11487
1226617200,9.71,9.5,10.09,9.5,8887
1226876400,9.7,9.49,9.8,9.12,1775
1226962800,9.4,9.2,9.4,9.06,12370
1227049200,9.21,9.26,9.27,9.17,7931
1227135600,8.41,8,8.8,8,28328
1227222000,7.9,7.95,8.38,7.61,16036
1227481200,8,8.3,8.3,8,10641
1227567600,8.47,8.2,8.47,7.97,25482
1227654000,8.13,8.15,8.2,7.98,8649
1227740400,8.21,8.26,8.5,8.19,34506
1227826800,8.44,8.26,8.44,8.21,7159
1228086000,8.29,8.06,8.29,8.05,30158
1228172400,8.12,8.12,8.15,8.03,27937
1228258800,8.15,8.11,8.26,7.99,30396
1228345200,8.1,7.97,8.13,7.97,32137
1228431600,8,7.72,8,7.51,16487
1228690800,7.84,7.8,7.88,7.73,51532
1228777200,7.94,7.94,8.03,7.85,27182
1228863600,7.98,7.75,7.98,7.75,14468
1228950000,7.98,7.84,7.98,7.75,15737
1229036400,7.83,7.63,7.83,7.6,14518
1229295600,7.63,7.6,7.63,7.6,21913
1229382000,7.63,7.36,7.63,7.3,29111
1229468400,7.5,6.95,7.5,6.63,65018
1229554800,6.96,6.59,6.96,6.5,51164
1229641200,6.52,6.44,6.57,6.4,103205
1229900400,6.6,6.5,6.88,6.47,57675
1229986800,6.48,6.54,6.79,6.45,23587
1230505200,6.75,6.7,6.88,6.59,6372
