t,o,c,h,l,v
1213048800,0,97.9,97.9,97.9,0
1213135200,97,97,97,97,1
1213221600,0,97,97,97,0
1213308000,0,97,97,97,0
1213567200,0,97,97,97,0
1213653600,0,97,97,97,0
1213740000,0,97,97,97,0
1213826400,0,97,97,97,0
1213912800,0,97,97,97,0
1214172000,0,97,97,97,0
1214258400,0,97,97,97,0
1214344800,0,87.3,87.3,87.3,0
1214431200,80,78,80,75,12
1214517600,86.9,86.9,86.9,86.9,1
1214776800,0,86.9,86.9,86.9,0
1214863200,0,86.9,86.9,86.9,0
1214949600,0,86.9,86.9,86.9,0
1215036000,0,86.9,86.9,86.9,0
1215122400,0,86.9,86.9,86.9,0
1215381600,0,86.9,86.9,86.9,0
1215468000,0,86.9,86.9,86.9,0
1215554400,0,86.9,86.9,86.9,0
1215640800,0,86.9,86.9,86.9,0
1215727200,0,86.9,86.9,86.9,0
1215986400,0,86.9,86.9,86.9,0
1216072800,0,86.9,86.9,86.9,0
1216159200,0,86.9,86.9,86.9,0
1216245600,72,72,86.9,67.5,108
1216332000,73,73,73,73,55
1216591200,0,73,73,73,0
1216677600,66,80.3,80.3,66,1
1216764000,0,80.3,80.3,80.3,0
1216850400,0,80.3,80.3,80.3,0
1216936800,0,80.3,80.3,80.3,0
1217196000,0,80.3,80.3,80.3,0
1217282400,0,80.3,80.3,80.3,0
1217368800,70,75,75,70,65
1217455200,72,75,75,72,56
1217541600,0,75,75,75,0
1217800800,0,75,75,75,0
1217887200,0,75,75,75,0
1217973600,0,75,75,75,0
1218060000,0,75,75,75,0
1218146400,0,75,75,75,0
1218405600,0,75,75,75,0
1218492000,0,75,75,75,0
1218578400,0,75,75,75,0
1218664800,0,75,75,75,0
1219010400,0,75,75,75,0
1219096800,0,75,75,75,0
1219183200,0,75,75,75,0
1219269600,0,75,75,75,0
1219356000,0,75,75,75,0
1219615200,0,75,75,75,0
1219701600,61.7,66.5,66.5,61.7,56
1219788000,0,66.5,66.5,66.5,0
1219874400,0,66.5,66.5,66.5,0
1219960800,0,66.5,66.5,66.5,0
1220220000,65,65,65,65,20
1220306400,62,78.65,78.65,62,160
1220392800,96,96,96,96,63
1220479200,90,98,98,90,34
1220565600,0,98,98,98,0
1220824800,98,87,98,86,180
1220911200,86,86,86,86,18
1220997600,94,94,94,94,7
1221084000,94,94,94,94,10
1221170400,84,90,90,84,12
1221429600,0,90,90,90,0
1221516000,0,90,90,90,0
1221602400,0,90,90,90,0
1221688800,72.2,88.9,88.9,72.2,9
1221775200,0,88.9,88.9,88.9,0
1222034400,0,88.9,88.9,88.9,0
1222120800,0,88.9,88.9,88.9,0
1222207200,0,88.9,88.9,88.9,0
1222293600,0,88.9,88.9,88.9,0
1222380000,69,85,85,69,50
1222639200,0,85,85,85,0
1222725600,79.9,84.7,84.8,77,121
1222812000,0,84.7,84.7,84.7,0
1222898400,0,84.7,84.7,84.7,0
1222984800,0,84.7,84.7,84.7,0
1223244000,0,84.7,84.7,84.7,0
1223330400,0,84.7,84.7,84.7,0
1223416800,0,84.7,84.7,84.7,0
1223503200,0,84.7,84.7,84.7,0
1223589600,0,84.7,84.7,84.7,0
1223848800,0,84.7,84.7,84.7,0
1223935200,0,84.7,84.7,84.7,0
1224021600,0.9,0.88,0.9,0.88,4825
1224108000,0.83,0.79,0.83,0.79,1125
1224194400,0.79,0.79,0.79,0.79,2475
1224453600,0,0.79,0.79,0.79,0
1224540000,0,0.79,0.79,0.79,0
1224626400,0,0.79,0.79,0.79,0
1224712800,0,0.79,0.79,0.79,0
1224799200,0,0.79,0.79,0.79,0
1225062000,0,0.79,0.79,0.79,0
1225148400,0.74,0.74,0.74,0.74,10000
1225234800,0.76,0.75,0.76,0.75,10530
1225321200,0.75,0.77,0.77,0.67,17500
1225407600,0.74,0.77,0.77,0.74,2348
1225666800,0.77,0.79,0.81,0.74,18116
