t,o,c,h,l,v
1351551600,26.2,25.9,26.29,25.9,3031258
1351638000,25.9,25.7,26.02,25.7,382811
1351810800,25.7,25.4,25.7,25.3,279161
1352070000,25.3,25.3,25.38,25.3,105699
1352156400,25.3,25.57,25.64,25.3,59441
1352242800,25.68,25.58,25.79,25.58,45605
1352329200,25.58,25.65,25.65,25.57,31877
1352415600,25.65,25.6,25.67,25.53,45164
1352674800,25.6,25.55,25.66,25.55,77937
1352761200,25.55,25.62,25.65,25.55,232231
1352847600,25.7,25.84,25.86,25.7,114436
1352934000,25.88,25.85,26,25.8,77634
1353020400,25.89,26.02,26.07,25.89,87926
1353279600,26,25.95,26.07,25.85,120784
1353366000,25.9,25.72,25.93,25.7,33720
1353452400,25.65,25.61,25.69,25.6,25384
1353538800,25.6,26.26,26.28,25.51,567454
1353625200,26.2,26.3,26.36,26.07,111113
1353884400,26.3,26.42,26.43,26.3,424649
1353970800,26.42,26.37,26.42,26.21,34040
1354057200,26.3,26.18,26.3,26.14,17660
1354143600,26.23,26.37,26.4,26.17,52241
1354230000,26.4,26.36,26.4,26.31,43072
1354489200,26.36,26.27,26.36,26.2,42435
1354575600,26.22,26.3,26.3,26.22,51849
1354662000,26.23,26.24,26.32,26.22,42871
1354748400,26.23,26.25,26.28,26.22,31623
1354834800,26.28,26.32,26.32,26.22,26395
1355094000,26.34,26.3,26.39,26.25,25716
1355180400,26.25,26.3,26.32,26.23,43349
1355266800,26.24,26.3,26.38,26.15,192503
1355353200,26.35,27.25,27.45,26.35,425088
1355439600,27.2,28.02,28.09,27.02,166271
1355698800,28.05,27.74,28.25,27.4,109230
1355785200,27.7,27.8,28,27.6,76126
1355871600,27.9,28.07,28.15,27.55,112150
1355958000,27.86,27.8,27.98,27.77,64404
1356044400,27.7,27.5,27.7,27.41,92485
1356562800,27.36,28.31,28.31,27.36,91617
1356649200,28.31,28.45,28.45,27.86,127367
1357081200,28.48,28.5,28.65,28.42,78778
1357167600,28.5,28.85,28.85,28.48,75274
1357254000,28.7,29.65,29.95,28.7,307231
1357513200,29.5,30.15,30.23,29.43,224546
1357599600,30.15,30.4,31.15,30,154174
1357686000,30.52,31.6,31.6,30.52,186602
1357772400,32,31.5,32.69,31.17,214833
1357858800,31.52,30.96,31.96,30.52,188783
1358118000,30.61,31.01,31.3,30.61,62600
1358204400,31,30.59,31,30.59,84456
1358290800,30.2,30.5,30.79,30.14,58467
1358377200,30.5,30.72,31,30.45,35522
1358463600,30.81,31.2,31.44,30.72,195672
1358722800,31.15,31.25,31.4,31,23317
1358809200,31.13,30.55,31.4,30.55,94120
1358895600,30.46,30.56,30.9,30.15,40191
1358982000,30.6,30.68,30.79,30.4,198568
1359068400,30.5,30.3,30.64,30.3,52065
1359327600,30.16,29.2,30.39,29.2,219785
1359414000,28.9,29.25,29.29,28.62,89911
1359500400,29,29.55,29.75,29,47710
1359586800,29.6,30.19,30.2,29.31,141403
1359673200,30.16,30,30.19,29.85,55366
1359932400,30,29.7,30,28.65,140578
1360018800,29.2,29.5,29.7,29.1,34407
1360105200,29.5,29.58,29.68,29.3,32916
1360191600,29.47,29.21,30,29.21,23641
1360278000,29.54,29.89,29.9,29.3,31684
1360537200,29.56,29.65,29.71,29.56,7091
1360623600,29.79,29.49,29.79,29.4,234799
1360710000,29.3,28.6,29.3,28.6,13080
1360796400,28.8,28.25,28.8,28.25,35322
1360882800,28.3,28.89,28.9,28.24,27967
1361142000,28.89,28.75,28.89,28.7,5083
1361228400,28.75,28.79,28.8,28.6,4411
1361314800,28.8,27.98,28.8,27.98,102128
1361401200,28,27.2,28,26.9,65305
1361487600,27.03,27.06,27.24,26.91,18966
1361746800,27.09,27.5,27.7,27.09,11475
1361833200,27.3,27.55,27.64,27.3,4889
