t,o,c,h,l,v
1285711200,17.9,14.49,17.9,14.41,25312
1285797600,14.49,14.4,14.98,14.3,45997
1285884000,14.38,14.39,14.5,14.35,4386
1286143200,14.35,14.35,14.35,14.31,1600
1286229600,14.39,14.37,14.39,14.3,1139
1286316000,14.38,14.4,14.5,14.3,1722
1286402400,14.45,14.4,14.45,14.38,780
1286488800,14.6,14.58,14.6,14.58,391
1286748000,14.57,14.5,14.57,14.45,5999
1286834400,0,14.5,14.5,14.5,0
1286920800,0,14.5,14.5,14.5,0
1287007200,14.47,14.31,14.47,14.31,413
1287093600,14.31,14.31,14.31,14.31,4172
1287352800,14.3,14.3,14.3,14.12,1327
1287439200,14.3,14.35,14.35,14.3,21429
1287525600,14.35,14.3,14.35,14.3,1144
1287612000,14.3,14.35,14.35,14.3,7490
1287698400,14.4,14.4,14.4,14.4,30
1287957600,14.35,14.3,14.35,14.3,260
1288044000,14.35,14.35,14.39,14.35,435
1288130400,14.4,14.95,14.95,14.39,47914
1288216800,15.15,15.65,16.1,15.15,46409
1288303200,15.62,15.84,15.84,15.53,22324
1288652400,15.95,16.47,16.65,15.95,46399
1288738800,16.88,16.48,16.88,16.26,40603
1288825200,16.5,16.45,16.65,16.1,21264
1288911600,16.5,15.95,16.5,15.66,15490
1289170800,16.4,15.47,16.4,15.45,25674
1289257200,15.45,15.66,15.95,15,25976
1289343600,15.71,15.57,15.75,15.5,15309
1289516400,15.5,15.57,15.57,15.4,11554
1289775600,15.8,15.66,15.8,15.66,5776
1289862000,15.83,15.66,15.83,15.62,22567
1289948400,15.68,15.63,15.68,15.6,5577
1290034800,15.7,16,16,15.64,9858
1290121200,16,15.76,16,15.75,7034
1290380400,15.76,15.89,16,15.7,2147
1290466800,15.7,15.65,15.75,15.65,4201
1290553200,15.61,15.84,15.84,15.61,7187
1290639600,15.76,15.68,15.84,15.65,3696
1290726000,15.7,15.63,15.8,15.63,4376
1290985200,15.6,15.6,15.76,15.6,2710
1291071600,15.77,15.76,15.77,15.67,2890
1291158000,15.7,15.74,15.76,15.6,17018
1291244400,15.74,15.91,16,15.74,9786
1291330800,16,16.28,16.33,16,21883
1291590000,16.36,16.3,16.64,15.89,31077
1291676400,16.25,16.43,16.44,16.11,3340
1291762800,16.4,16.38,16.4,16.16,233
1291849200,16.38,16.38,16.38,16.15,3229
1291935600,16.35,16.22,16.35,16.01,2165
1292194800,16.1,16.27,16.27,15.8,2742
1292281200,15.77,16.2,16.2,15.77,3050
1292367600,15.8,16.14,16.14,15.8,2245
1292454000,16,15.95,16.1,15.85,2153
1292540400,15.8,16,16,15.7,3429
1292799600,15.9,15.97,15.97,15.9,3467
1292886000,15.8,15.98,15.98,15.65,6659
1292972400,16,16.07,16.17,15.75,1380
1293058800,16,15.92,16,15.92,776
1293404400,15.9,15.88,15.9,15.77,1933
1293490800,15.71,15.9,15.9,15.68,5865
1293577200,16,15.8,16,15.8,223
1293663600,15.77,15.77,15.8,15.57,1335
1293750000,15.7,15.98,16,15.61,19356
1294009200,15.61,15.7,16,15.61,2726
1294095600,15.7,15.16,15.7,15.05,4236
1294182000,15.12,15.1,15.38,15.09,15232
1294354800,15.1,15.39,15.39,15.09,1184
1294614000,15.39,15.01,15.4,15.01,2730
1294700400,15.05,15.12,15.12,15.05,1723
1294786800,15.05,15.1,15.2,15,9560
1294873200,15.11,15.19,15.2,15.1,1880
1294959600,15.05,15.07,15.15,15.05,1119
1295218800,14.89,14.77,15.27,14.7,11373
1295305200,14.77,14.89,14.95,14.02,16114
1295391600,14.88,14.78,14.89,14.6,1875
1295478000,14.51,14.81,14.82,14.5,1077
1295564400,14.8,14.8,14.8,14.62,1157
1295823600,14.8,14.6,14.8,14.5,2678
1295910000,14.75,14.74,14.75,14.5,25903
1295996400,14.7,14.6,14.7,14.58,5071
1296082800,14.59,14.6,14.64,14.51,3833
1296169200,14.63,14.59,14.63,14.45,4192
1296428400,14.55,14.49,14.56,14.43,2266
1296514800,14.45,14.18,14.45,14.07,7573
1296601200,14.2,14.08,14.2,14.06,6608
1296687600,14.15,14.17,14.17,14.03,4068
1296774000,14.04,14.25,14.25,14.04,1839
1297033200,14.08,14.35,14.39,14.08,1478
1297119600,14.58,14.49,14.58,14.2,6184
1297206000,14.47,14.45,14.47,14.27,1130
1297292400,14.3,14.2,14.43,14.2,1025
1297378800,14.35,14.35,14.35,14,4633
1297638000,14.25,14.35,14.35,14.2,186
1297724400,14.3,14.47,14.47,14.15,37443
1297810800,14.3,14.39,14.43,14.15,3161
1297897200,14.3,14.17,14.4,14.17,1623
1297983600,14.2,14.29,14.29,14,4865
1298242800,14.28,14.1,14.28,14.1,1667
1298329200,14,13.66,14,13.52,7136
1298415600,13.69,13.66,13.7,13.61,2310
1298502000,13.61,13.8,13.95,13.55,69002
1298588400,13.98,14.25,14.28,13.98,2556
1298847600,14.4,14.95,14.95,14.2,61167
1298934000,14.95,14.35,14.95,14.35,3713
1299020400,14.35,14.49,14.5,14.3,830
1299106800,14.2,14.2,14.48,14.15,2397
1299193200,14.2,14.1,14.25,13.8,4131
1299452400,14.2,14.1,14.44,13.4,2523
1299538800,14.3,14.3,14.3,13.85,313
1299625200,14.1,14,14.1,13.95,2680
1299711600,14.1,14.09,14.1,14,294
1299798000,14,13.98,14,13.7,1622
1300057200,14,14.27,14.27,14,942
1300143600,14.18,14.2,14.2,13.8,8664
1300230000,14,14.22,14.25,14,1718
1300316400,13.93,14.39,14.39,13.9,1969
1300402800,13.7,13.86,14,13.05,11254
1300662000,13.86,13.84,13.95,13.8,3625
1300748400,13.74,13.78,13.9,13.74,3738
1300834800,13.76,13.41,13.76,13.4,1529
1300921200,13.5,13.7,13.84,13.5,2650
1301007600,13.83,13.8,13.83,13.8,112
1301263200,13.8,13.67,13.83,13.66,4552
1301349600,13.67,13.58,13.67,13.55,1775
1301436000,13.55,13.51,13.56,13.51,1206
1301522400,13.45,13.5,13.5,13.44,2874
1301608800,13.48,13.4,13.51,13.4,4933
1301868000,13.4,13.3,13.4,13.05,10405
1301954400,13.15,13.16,13.25,13.15,2262
1302040800,13.1,12.8,13.14,12.75,12049
1302127200,12.77,12.8,12.87,12.77,6159
1302213600,12.88,12.79,12.88,12.79,7308
1302472800,12.8,12.78,12.95,12.78,6303
1302559200,12.79,12.7,12.79,12.6,3964
1302645600,12.7,12.4,12.7,12.32,6616
1302732000,12.3,12.15,12.4,12.15,4550
1302818400,12.1,12.79,12.79,12,6984
1303077600,12.75,12.79,12.79,12.69,3986
1303164000,12.79,12.39,12.8,12.25,2030
1303250400,12.4,12.4,12.4,12.4,264
1303336800,12.4,12.39,12.4,12.35,1721
1303768800,12.25,12.25,12.25,12.25,673
1303855200,12.21,12.15,12.21,12,6396
1303941600,12.2,12.34,12.35,11.93,8363
1304028000,12.12,12.45,12.45,12.12,2150
1304287200,0,12.45,12.45,12.45,0
1304460000,12.45,12.2,12.45,12.06,2979
1304546400,12.2,12.48,12.49,12.2,1345
1304632800,12.48,12.4,12.48,11.97,24581
1304892000,12.3,12.35,12.35,12.2,2059
1304978400,12.3,12.55,12.55,12.01,2690
1305064800,12.56,12.2,12.56,12.15,854
1305151200,11.99,11.97,12,11.49,8631
1305237600,11.57,11.7,11.75,11.56,2786
1305496800,11.56,11.5,11.7,11.5,6298
1305583200,11.5,11.8,11.8,11.5,1303
