t,o,c,h,l,v
1114725600,7.7,8.55,12,7.65,14224
1114984800,8.85,10.3,10.65,8.85,29577
1115157600,10.75,10.2,11.3,10.2,23195
1115244000,10.45,9.55,10.5,9.45,11375
1115330400,9.4,9.45,9.45,8.5,16558
1115589600,9.1,9.2,9.3,8.75,6265
1115676000,9.4,8.85,9.4,8.8,591
1115762400,9.05,9.2,9.45,8.8,4971
1115848800,9.35,9.3,9.4,9,1108
1115935200,9.3,9.15,9.35,8.9,4790
1116194400,8.95,9,9,8.65,2322
1116280800,9,8.95,9,8.5,2748
1116367200,8.7,8.85,9.25,8.7,5244
1116453600,8.75,8.85,9,8.75,3561
1116540000,8.85,9,9.15,8.85,8880
1116799200,9,8.95,9,8.95,1445
1116885600,8.9,8.9,8.9,8.9,1948
1116972000,9,9.05,9.05,9,290
1117144800,9,9.05,9.1,9,1991
1117404000,9,9.65,9.65,9,3619
1117490400,9.3,9.55,9.55,9.3,910
1117576800,9.25,9.2,9.25,9.2,796
1117663200,9.2,9.5,9.5,9,4042
1117749600,9.65,9.6,10,9.5,6120
1118008800,10,10.3,10.3,9.85,8265
1118095200,10.4,10.2,10.4,10.2,3992
1118181600,10.2,10.6,10.6,10.2,7088
1118268000,10.6,10.5,10.6,10.3,1174
1118354400,10.5,10.2,10.5,10.2,1079
1118613600,10.15,10.1,10.15,10.1,3365
1118700000,9.8,9.8,9.9,9.65,606
1118786400,9.95,9.95,9.95,9.95,200
1118872800,9.95,9.95,9.95,9.95,199
1118959200,0,9.95,9.95,9.95,0
1119218400,10,9.7,10,9.7,2000
1119304800,9.55,9.55,9.55,9.55,567
1119391200,9.5,9.9,9.9,9.45,5177
1119477600,9.55,9.75,9.9,9.5,3864
1119564000,9.55,9.85,9.85,9.55,1220
1119823200,9.9,9.5,9.9,9.5,3904
1119909600,9.85,9.8,9.85,9.5,77
1119996000,9.6,9.9,9.9,9.6,2435
1120082400,9.55,9.9,9.9,9.55,652
1120168800,9.8,9.9,9.9,9.8,2239
1120428000,0,9.9,9.9,9.9,0
1120514400,9.6,9.65,9.8,9.6,266
1120600800,9.7,9.7,9.85,9.7,482
1120687200,9.7,9.7,9.7,9.4,3022
1120773600,9.45,9.5,9.5,9.35,919
1121032800,9.35,9.6,9.6,9.3,207
1121119200,9.7,9.7,9.7,9.3,240
1121205600,9.7,10.4,10.4,9.7,9312
1121292000,10.05,9.9,10.05,9.75,13258
1121378400,10.05,9.9,10.05,9.9,2825
1121637600,9.7,9.85,9.85,9.7,342
1121724000,9.8,9.9,9.9,9.75,1095
1121810400,9.7,9.7,9.8,9.7,378
