t,o,c,h,l,v
1334095200,204,210,214,204,131
1334181600,0,210,210,210,0
1334268000,0,210,210,210,0
1334527200,0,210,210,210,0
1334613600,212,212.5,212.5,212,14
1334700000,208,208,208,208,20
1334786400,203.1,203.1,203.1,203.1,25
1334872800,0,203.1,203.1,203.1,0
1335132000,0,203.1,203.1,203.1,0
1335218400,0,203.1,203.1,203.1,0
1335304800,0,203.1,203.1,203.1,0
1335391200,0,203.1,203.1,203.1,0
1335477600,0,203.1,203.1,203.1,0
1335736800,0,203.1,203.1,203.1,0
1335909600,0,203.1,203.1,203.1,0
1336082400,0,203.1,203.1,203.1,0
1336341600,0,203.1,203.1,203.1,0
1336428000,0,203.1,203.1,203.1,0
1336514400,0,203.1,203.1,203.1,0
1336600800,0,203.1,203.1,203.1,0
1336687200,0,203.1,203.1,203.1,0
1336946400,0,203.1,203.1,203.1,0
1337032800,0,203.1,203.1,203.1,0
1337119200,0,203.1,203.1,203.1,0
1337205600,0,203.1,203.1,203.1,0
1337292000,0,203.1,203.1,203.1,0
1337551200,0,203.1,203.1,203.1,0
1337637600,0,203.1,203.1,203.1,0
1337724000,0,203.1,203.1,203.1,0
1337810400,0,203.1,203.1,203.1,0
1337896800,0,203.1,203.1,203.1,0
1338156000,0,203.1,203.1,203.1,0
1338242400,0,203.1,203.1,203.1,0
1338328800,0,203.1,203.1,203.1,0
1338415200,0,203.1,203.1,203.1,0
1338501600,0,203.1,203.1,203.1,0
1338760800,0,203.1,203.1,203.1,0
1338847200,0,203.1,203.1,203.1,0
1338933600,0,203.1,203.1,203.1,0
1339106400,0,203.1,203.1,203.1,0
1339365600,0,203.1,203.1,203.1,0
1339452000,0,203.1,203.1,203.1,0
1339538400,0,203.1,203.1,203.1,0
1339624800,0,203.1,203.1,203.1,0
1339711200,0,203.1,203.1,203.1,0
1339970400,0,203.1,203.1,203.1,0
1340056800,0,203.1,203.1,203.1,0
1340143200,0,203.1,203.1,203.1,0
1340229600,0,203.1,203.1,203.1,0
1340316000,0,203.1,203.1,203.1,0
1340575200,0,203.1,203.1,203.1,0
1340661600,0,203.1,203.1,203.1,0
1340748000,0,203.1,203.1,203.1,0
1340834400,0,203.1,203.1,203.1,0
1340920800,0,203.1,203.1,203.1,0
1341180000,0,203.1,203.1,203.1,0
1341266400,0,203.1,203.1,203.1,0
1341352800,0,203.1,203.1,203.1,0
1341439200,0,203.1,203.1,203.1,0
1341525600,0,203.1,203.1,203.1,0
1341784800,0,196.8,196.8,196.8,0
1341871200,0,196.8,196.8,196.8,0
1341957600,0,196.8,196.8,196.8,0
1342044000,0,196.8,196.8,196.8,0
1342130400,0,196.8,196.8,196.8,0
1342389600,0,196.8,196.8,196.8,0
1342476000,0,196.8,196.8,196.8,0
1342562400,0,196.8,196.8,196.8,0
1342648800,0,196.8,196.8,196.8,0
1342735200,0,196.8,196.8,196.8,0
1342994400,0,196.8,196.8,196.8,0
1343080800,0,196.8,196.8,196.8,0
1343167200,0,196.8,196.8,196.8,0
1343253600,0,196.8,196.8,196.8,0
1343340000,0,196.8,196.8,196.8,0
1343599200,0,196.8,196.8,196.8,0
1343685600,0,196.8,196.8,196.8,0
1343772000,0,196.8,196.8,196.8,0
