t,o,c,h,l,v
1350252000,180,179,180,179,401
1350338400,180,179,180,179,71
1350424800,185,179,185,179,177
1350511200,176,176,176,176,30
1350597600,0,176,176,176,0
1350856800,180,180,180,180,5
1350943200,180,180,180,180,10
1351029600,180,180,180,180,82
1351116000,0,180,180,180,0
1351202400,184.5,184.5,184.5,184.5,5
1351465200,184.5,184.5,184.5,184.5,1
1351551600,0,184.5,184.5,184.5,0
1351638000,180,180,180,180,55
1351810800,0,180,180,180,0
1352070000,180,180.5,180.5,180,16
1352156400,185,182.5,185,182.5,15
1352242800,0,182.5,182.5,182.5,0
1352329200,0,182.5,182.5,182.5,0
1352415600,180,180,180,180,30
1352674800,179,180,181,179,152
1352761200,182,182,182,182,100
1352847600,185,183,185,183,81
1352934000,180,180,180,180,107
1353020400,180,181,182,180,127
1353279600,182,180,182,180,80
1353366000,0,180,180,180,0
1353452400,180,180,180,179,144
1353538800,181,180,181,180,110
1353625200,182,182,182,182,72
1353884400,180,180,180,180,150
1353970800,182,182,182,182,155
1354057200,181.9,183,183,181.9,140
1354143600,180,180,180,180,190
1354230000,182,182,182,182,25
1354489200,181,177,181,177,227
1354575600,181.2,182,182,181.2,190
1354662000,181,182,182,181,50
1354748400,0,182,182,182,0
1354834800,181,182,182,181,230
1355094000,181.9,182,182,181.9,190
1355180400,184.9,185,185,184.9,120
1355266800,184.9,184.9,184.9,184.9,190
1355353200,184.9,184.9,184.9,184.9,150
1355439600,184.9,184.9,184.9,184.9,130
1355698800,183,183,183,183,170
1355785200,0,183,183,183,0
1355871600,183,184,184,183,171
1355958000,183,183,183,183,120
1356044400,184,184,184,184,150
1356562800,183,183,183,183,130
1356649200,184,183,184,183,145
1357081200,183,183,183,183,200
1357167600,184,184,184,184,150
1357254000,184,184,184,184,200
1357513200,185,185,185,185,11
1357599600,184,184,184,184,160
1357686000,0,184,184,184,0
1357772400,183,183,183,183,120
1357858800,183,182,183,182,249
1358118000,0,182,182,182,0
1358204400,182,183,183,182,160
1358290800,183,183,183,183,140
1358377200,0,183,183,183,0
1358463600,183,183,183,183,180
1358722800,184,184,184,184,90
1358809200,184,184,184,184,280
1358895600,184,184,184,184,100
1358982000,184,184,184,184,100
1359068400,185,185,185,185,90
1359327600,185,185,185,185,121
1359414000,185,185,185,185,130
1359500400,185,185,185,185,90
1359586800,185,185,185,185,110
1359673200,186,186,186,186,133
1359932400,184,184,184,184,130
1360018800,180.5,184,184,180.5,98
1360105200,185,186,186,185,100
1360191600,185,185,185,185,100
1360278000,185,185,185,185,80
1360537200,185,185,185,185,80
1360623600,185,185,185,185,90
1360710000,185,185,185,179,150
1360796400,185,186,186,185,90
1360882800,185.9,185.9,185.9,185.9,100
1361142000,185,187.8,187.8,180,126
1361228400,185.5,186,186,185.5,100
1361314800,187,187,187,187,80
1361401200,187,187,187,187,100
1361487600,187,187,187,187,120
1361746800,187,187,187,187,100
1361833200,187,186,187,186,150
1361919600,186,186,186,186,80
1362006000,186,186,186,186,100
1362092400,186,186,186,186,150
1362351600,186,184,186,184,230
1362438000,186,186,186,186,90
1362524400,185,185,185,185,120
1362610800,186,186,186,186,120
1362697200,186.7,186.9,186.9,186.7,91
1362956400,185,181,185,181,123
1363042800,186,186,186,186,120
1363129200,186,186,186,186,80
1363215600,186,186,186,186,100
1363302000,187,187,187,187,10
1363561200,187.9,187.9,187.9,187.9,10
1363647600,186,186,186,186,120
1363734000,186,186,186,186,80
1363820400,187,187,187,187,100
1363906800,187.9,187,187.9,183,158
1364166000,187,187,187,187,100
1364252400,187,187,187,187,130
1364338800,187.5,187.5,187.5,187.5,100
1364425200,187.5,187.5,187.5,187.5,80
1364853600,187,187.5,187.5,187,123
1364940000,186,186,186,186,100
1365026400,186,186,186,186,80
1365112800,186,186,186,186,100
1365372000,187,187,187,187,120
1365458400,186,186,186,186,100
1365544800,185,185,185,185,120
1365631200,186,186,186,186,100
1365717600,187,187,187,187,80
1365976800,187,187,187,187,100
1366149600,185,185,186,185,196
1366236000,185,185,185,185,136
1366322400,185,185,185,185,100
1366581600,186,186,186,186,100
1366668000,186,186,186,186,50
1366754400,186,186,186,186,50
1366840800,186.55,187,188,186.55,220
1366927200,188,188,188,188,80
1367186400,189,189,189,189,50
1367272800,188,188,188,188,40
1367445600,186.2,186.2,186.2,186.2,9
1367791200,185,185,185,185,50
1367877600,187,187,187,187,100
1367964000,187,187,187,187,5
1368050400,185,185,185,185,80
1368136800,186,186,186,186,13
1368396000,186,186,186,186,110
1368482400,187,187,187,187,100
1368568800,188,187,188,187,151
1368655200,188,188,188,188,120
1368741600,188,188,188,188,80
1369000800,188,188,188,188,100
1369087200,189,188,189,188,121
1369173600,189,189,189,189,80
1369260000,188,188,188,188,50
1369346400,189,189,189,189,130
1369605600,189,189,189,189,80
1369692000,189,189,189,189,100
1369778400,190,190,190,190,40
1369951200,193.4,193.4,193.4,193.4,50
1370210400,197,197,197,197,25
1370296800,193.5,193.5,193.5,193.5,15
1370383200,192,192,192,192,40
1370469600,0,192,192,192,0
1370556000,194.05,194.05,194.05,194.05,50
1370815200,201,192,201,192,105
1370901600,190.1,190.9,190.9,190,51
1370988000,192.1,195,195,192.1,150
1371074400,192,192,192,192,50
1371160800,192.5,192.5,192.5,192.5,22
1371420000,192.4,192.4,192.4,192.4,31
1371506400,193,193,193,193,10
1371592800,0,193,193,193,0
1371679200,192.5,192.5,192.5,192.5,15
1371765600,191,191,191,191,13
1372024800,195,195,195,195,5
1372111200,197.4,200,200,197.1,146
1372197600,197.5,197.5,197.5,197.5,1
1372284000,196,196,196,196,80
1372370400,0,196,196,196,0
1372629600,199,199,199,199,150
1372716000,0,199,199,199,0
1372802400,199,199,199,199,150
1372888800,200,200,200,200,35
1372975200,0,200,200,200,0
1373234400,200,205,205,198,87
1373320800,203,203,205,203,38
1373407200,202,202,202,202,38
1373493600,200,200,200,200,100
1373580000,200,200,200,200,90
1373839200,199,199,199,199,120
1373925600,198,198,198,198,150
1374012000,198,198,198,198,120
1374098400,197,197,197,197,90
1374184800,197,197,197,197,100
1374444000,0,197,197,197,0
1374530400,0,197,197,197,0
1374616800,202,202,202,202,38
1374703200,202,202,202,202,30
1374789600,202,202,202,202,8
1375048800,200,200,200,200,30
1375135200,200,200,200,200,30
1375221600,199,199,199,199,100
1375308000,198,198,198,198,120
1375394400,198,198,198,198,110
1375653600,197,196,197,196,195
1375740000,200,196,200,196,147
1375826400,195,195,195,195,160
1375912800,193,193,193,193,150
1375999200,194,193,194,193,150
1376258400,0,193,193,193,0
1376344800,194,193,194,193,20
1376431200,194,194,194,194,200
1376604000,0,194,194,194,0
1376863200,189,194,194,189,128
1376949600,194,194,194,194,100
1377036000,194,194,194,194,130
1377122400,194,194,194,194,83
1377208800,194,194,194,194,100
1377468000,195,195,195,195,120
1377554400,195,195,195,195,100
1377640800,195,195,195,195,120
1377727200,0,195,195,195,0
1377813600,197,197,197,197,150
1378072800,197,197,197,197,120
1378159200,198,198,198,198,120
1378245600,197,197,197,197,80
1378332000,198,197,198,197,125
1378418400,197,197,197,197,150
1378677600,198,198,198,198,200
1378764000,198,198,198,198,150
1378850400,198,198,198,198,180
1378936800,198.5,198.5,198.5,198.5,15
1379023200,0,198.5,198.5,198.5,0
1379282400,198,198,198,198,80
1379368800,197,197,197,197,120
1379455200,197,197,197,197,150
1379541600,197,197,197,197,130
1379628000,197,196,197,196,83
1379887200,197,197,197,197,70
1379973600,197,197,197,197,100
1380060000,197,197,197,197,100
1380146400,196,196,196,196,120
1380232800,196,196,196,196,110
1380492000,197,198,198,197,557
1380578400,197,197,197,197,120
1380664800,197,197,197,197,150
1380751200,197,197,197,197,170
1380837600,197,197,197,197,10
1381096800,197,197,197,197,1
1381183200,197.3,198,198,197,217
1381269600,198,198,198,198,5
1381356000,197,197,197,197,180
1381442400,197,198,198,197,151
1381701600,197,198,198,197,250
1381788000,197,197,198,197,219
1381874400,197,197,197,197,130
1381960800,198.5,197,198.5,197,494
1382047200,194,170,194,170,1186
1382306400,170,153,170,153,322
1382392800,153.5,138.5,153.6,138.5,541
1382479200,137.9,100.1,137.9,100.1,1254
1382565600,109,92,109.85,91.5,2188
1382652000,92,92,95,91.05,1135
1382914800,93,105,112.1,90,1853
1383001200,109.9,97,109.9,97,2957
1383087600,98.5,97,104.9,95,664
1383174000,97.5,92.5,97.5,90,734
1383519600,92.8,91,92.8,90,189
1383606000,91,91,91,91,643
1383692400,87.5,90.5,90.5,85,138
1383778800,90.3,96,96,90.3,872
1383865200,95,95,95,95,25
1384210800,94.9,89,94.9,89,300
1384297200,89.5,92,92,89,253
1384383600,88,90,90,87,145
1384470000,90,90.5,91.8,90,424
1384729200,90.25,91.7,91.7,90.25,41
1384815600,90.5,91.7,91.7,87,67
1384902000,91.8,91.7,93.1,91.7,41
1384988400,91.7,92,92.2,91.7,36
1385074800,92,92,92.5,92,45
1385334000,91.9,91.7,91.9,87.25,62
1385420400,90.9,90.5,91.5,87,291
1385506800,89.85,88,89.85,88,8
1385593200,87,87.95,88,87,71
1385679600,87.99,85,87.99,80,543
1385938800,86,85.1,86.5,85.1,101
1386025200,85.2,86.5,86.5,80,137
1386111600,84.1,84,84.1,84,19
1386198000,84,84,84,84,10
1386284400,84.5,86.8,86.8,84.5,149
1386543600,87.5,87,87.5,85.5,158
1386630000,87.5,87.5,87.5,87.5,61
1386716400,87.5,86,88.95,85.7,233
1386802800,86,87.5,87.5,86,30
1386889200,87.5,86,87.5,86,262
1387148400,86.4,87.5,87.5,86,125
1387234800,87.5,87.5,87.5,87.5,75
1387321200,87.5,87.5,87.5,87.5,70
1387407600,88.19,86,88.5,86,199
1387494000,86.1,86,86.1,86,419
1387753200,0,86,86,86,0
1388098800,0,86,86,86,0
1388358000,85.51,85.51,85.51,85.51,1
1388617200,0,85.51,85.51,85.51,0
1388703600,88,88,88,88,30
1389049200,89,94,94,89,326
1389135600,93.5,93.5,93.5,93.5,1
1389222000,90,93.47,93.47,90,151
1389308400,93.47,93,93.47,89,191
1389567600,90,92.95,92.95,90,217
1389654000,90,92.95,92.95,90,201
1389740400,92.95,92,92.95,92,140
1389826800,90,90,90,90,320
1389913200,92.5,92.5,92.5,92.5,10
1390172400,93,92.5,93,90,231
1390258800,90,93,93,90,106
1390345200,90,90,90,90,120
1390431600,92.4,90,92.4,90,129
1390518000,90,90,90,90,100
1390777200,89.9,90,90,89.9,50
1390863600,90,90,90,90,50
1390950000,90,90,90,90,50
1391036400,93.4,90,93.4,90,80
1391122800,89.4,89.5,89.5,89.4,50
1391382000,0,89.5,89.5,89.5,0
1391468400,0,89.5,89.5,89.5,0
1391554800,89.4,89.5,89.5,85,17
1391641200,0,89.5,89.5,89.5,0
1391727600,0,89.5,89.5,89.5,0
1391986800,83.8,89,89,80.6,121
1392073200,0,89,89,89,0
1392159600,88,88,88,88,15
1392246000,89.4,89.4,89.4,89.4,1
1392332400,89.4,88,89.4,88,369
1392591600,89.5,89.5,89.5,89.5,1
1392678000,89.5,89.5,89.5,89.5,3
1392764400,89.5,89.5,89.5,89.5,194
1392850800,89.5,89.5,89.5,89.5,99
1392937200,89,89.5,89.5,89,29
1393196400,92,90,92,90,52
1393282800,92.8,91,92.8,91,2
1393369200,91,91,91,91,2
1393455600,0,91,91,91,0
1393542000,0,91,91,91,0
1393801200,90.8,90.8,90.8,90.8,6
1393887600,88,83.45,92.2,82.8,353
1393974000,91.6,91.6,91.6,91.6,4
1394060400,90,90,90,90,261
1394146800,0,90,90,90,0
1394406000,0,90,90,90,0
1394492400,91.55,91.55,91.55,91.5,42
1394578800,90,90,90,90,28
1394665200,91,91,91,91,503
1394751600,88.3,88.3,88.3,88.3,72
1395010800,89,89,89,89,6
1395097200,90.7,90.7,90.7,90.7,25
1395183600,0,90.7,90.7,90.7,0
1395270000,89,88.3,89,88.3,102
1395356400,0,88.3,88.3,88.3,0
1395615600,0,88.3,88.3,88.3,0
1395702000,0,88.3,88.3,88.3,0
1395788400,88.3,86,88.3,86,143
1395874800,0,86,86,86,0
1395961200,0,86,86,86,0
1396216800,0,86,86,86,0
1396303200,0,86,86,86,0
1396389600,0,86,86,86,0
1396476000,0,86,86,86,0
1396562400,89,89,89,89,22
1396821600,89,89,89,89,15
1396908000,0,89,89,89,0
1396994400,0,89,89,89,0
1397080800,0,89,89,89,0
1397167200,0,89,89,89,0
1397426400,87,87,87,87,20
1397512800,87,87,87,87,3
1397599200,87,87,87,87,3
1397685600,87,87,87,87,3
1398117600,84,84,84,84,54
1398204000,84,83,84,83,94
1398290400,0,83,83,83,0
1398376800,0,83,83,83,0
1398636000,83,83,83,83,3
1398722400,87,87,87,87,2
1398808800,0,87,87,87,0
1398981600,0,87,87,87,0
1399240800,0,87,87,87,0
1399327200,0,87,87,87,0
1399413600,87,87,87,87,2
1399500000,0,87,87,87,0
1399586400,0,87,87,87,0
1399845600,0,87,87,87,0
1399932000,88,88,88,88,30
1400018400,0,88,88,88,0
1400104800,87.9,87.9,87.9,87.9,3
1400191200,87.9,87.9,87.9,87.9,10
1400450400,0,87.9,87.9,87.9,0
1400536800,88,87.9,88,87.9,9
1400623200,0,87.9,87.9,87.9,0
1400709600,0,87.9,87.9,87.9,0
1400796000,84,84,84,84,30
1401055200,84,84,84,84,15
1401141600,0,84,84,84,0
1401228000,0,84,84,84,0
1401314400,0,84,84,84,0
1401400800,0,84,84,84,0
1401660000,85,85,85,85,14
1401746400,0,85,85,85,0
1401832800,0,85,85,85,0
1401919200,85,85,85,85,15
1402005600,85,85,85,85,20
1402264800,0,85,85,85,0
1402351200,0,85,85,85,0
1402437600,0,85,85,85,0
1402524000,0,85,85,85,0
1402610400,0,85,85,85,0
1402869600,0,85,85,85,0
1402956000,0,85,85,85,0
1403042400,84,84,84,84,14
1403215200,0,84,84,84,0
1403474400,84,84,85,84,272
1403560800,84,84,84,84,42
1403647200,0,84,84,84,0
1403733600,0,84,84,84,0
1403820000,85,85,85,85,17
1404079200,0,85,85,85,0
1404165600,84.5,84.5,84.5,84.5,12
1404252000,0,84.5,84.5,84.5,0
1404338400,0,84.5,84.5,84.5,0
1404424800,85,85,85,85,175
1404684000,83.6,83.6,83.6,83.6,18
1404770400,0,83.6,83.6,83.6,0
1404856800,87,86,87,86,42
1404943200,0,86,86,86,0
1405029600,84,84,84,84,40
1405288800,86,80,86,77.6,342
1405375200,0,80,80,80,0
1405461600,80,80.5,80.5,80,88
1405548000,0,80.5,80.5,80.5,0
1405634400,79,79,79,79,27
1405893600,0,79,79,79,0
1405980000,0,79,79,79,0
1406066400,80.8,85.99,85.99,80.8,175
1406152800,85.99,85.99,85.99,85.99,20
1406239200,83,83,83,83,30
1406498400,0,83,83,83,0
1406584800,0,83,83,83,0
1406671200,79,80.85,80.85,79,34
1406757600,80,80,80,80,11
1406844000,0,80,80,80,0
1407103200,0,80,80,80,0
1407189600,0,80,80,80,0
1407276000,80.05,80.05,80.05,80.05,100
1407362400,80,80,80,80,25
1407448800,0,80,80,80,0
1407708000,0,80,80,80,0
1407794400,0,80,80,80,0
1407880800,0,80,80,80,0
1407967200,0,80,80,80,0
1408312800,78.01,78,78.01,78,20
1408399200,0,78,78,78,0
1408485600,80.85,80.85,80.85,80.85,13
1408572000,0,80.85,80.85,80.85,0
1408658400,81.2,81.2,81.2,81.2,8
1408917600,79.3,79.3,79.3,79.3,2
1409004000,0,79.3,79.3,79.3,0
1409090400,80.5,80,80.5,80,134
1409176800,83.19,83.2,83.2,83.19,130
1409263200,0,83.2,83.2,83.2,0
1409522400,82,80.75,83.79,80.75,327
1409608800,0,80.75,80.75,80.75,0
1409695200,0,80.75,80.75,80.75,0
1409781600,0,80.75,80.75,80.75,0
1409868000,80.79,80.75,80.79,80.75,21
1410127200,0,80.75,80.75,80.75,0
1410213600,0,80.75,80.75,80.75,0
1410300000,84,85,85,84,158
1410386400,86,86,86,86,79
1410472800,86.1,86.1,86.1,85,110
1410732000,0,86.1,86.1,86.1,0
1410818400,0,86.1,86.1,86.1,0
1410904800,88.2,88.2,88.2,88.2,50
1410991200,89,93.5,93.5,88.2,401
1411077600,0,93.5,93.5,93.5,0
1411336800,0,93.5,93.5,93.5,0
1411423200,0,93.5,93.5,93.5,0
1411509600,91.35,87,91.35,87,57
1411596000,0,87,87,87,0
1411682400,0,87,87,87,0
1411941600,87.5,91.35,91.35,87.01,80
1412028000,0,91.35,91.35,91.35,0
1412114400,0,91.35,91.35,91.35,0
1412200800,0,91.35,91.35,91.35,0
1412287200,0,91.35,91.35,91.35,0
1412546400,0,91.35,91.35,91.35,0
1412632800,91.35,91.35,91.35,91.35,10
1412719200,91,91,91,91,25
1412805600,0,91,91,91,0
1412892000,0,91,91,91,0
1413151200,0,91,91,91,0
1413237600,0,91,91,91,0
1413324000,0,91,91,91,0
1413410400,0,91,91,91,0
1413496800,90.7,91.7,91.7,90.7,93
1413756000,93.45,93.45,93.45,93.45,11
1413842400,93,93,93,93,36
1413928800,91,91,91,91,10
1414015200,93,92.8,93,92.8,25
1414101600,92.8,92.8,92.8,92.8,80
1414364400,91.1,93.45,93.45,91.1,65
1414450800,93.45,94,94,93.45,35
1414537200,94,94.5,94.5,93.45,240
1414623600,94.1,94,94.1,94,85
1414710000,94.5,94,94.5,94,35
1414969200,92.5,92.5,92.5,92.5,100
1415055600,90,90,90,90,110
1415142000,0,90,90,90,0
1415228400,0,90,90,90,0
1415314800,90,90.01,90.01,90,26
1415574000,0,90.01,90.01,90.01,0
1415746800,0,90.01,90.01,90.01,0
1415833200,0,90.01,90.01,90.01,0
1415919600,0,90.01,90.01,90.01,0
1416178800,93.55,93.55,93.55,93.55,6
1416265200,0,93.55,93.55,93.55,0
1416351600,0,93.55,93.55,93.55,0
1416438000,0,93.55,93.55,93.55,0
1416524400,0,93.55,93.55,93.55,0
1416783600,91.5,91.5,91.5,91.5,5
1416870000,0,91.5,91.5,91.5,0
1416956400,90,90,90,90,89
1417042800,0,90,90,90,0
1417129200,0,90,90,90,0
1417388400,0,90,90,90,0
1417474800,0,90,90,90,0
1417561200,0,90,90,90,0
1417647600,0,90,90,90,0
1417734000,0,90,90,90,0
1417993200,0,90,90,90,0
1418079600,0,90,90,90,0
1418166000,86.45,86.45,86.45,86.45,15
1418252400,86.45,86.45,86.45,86.45,10
1418338800,0,86.45,86.45,86.45,0
1418598000,0,86.45,86.45,86.45,0
1418684400,87,87,87,87,10
1418770800,0,87,87,87,0
1418857200,0,87,87,87,0
1418943600,0,87,87,87,0
1419202800,0,87,87,87,0
1419289200,86.45,86.45,86.45,86.45,10
1419807600,0,86.45,86.45,86.45,0
