t,o,c,h,l,v
1613689200,50,49.5,54.95,45.15,13680794
1613948400,49.9,47.655,49.9,46.66,1173482
1614034800,47.5,42,47.5,38.4,2297901
1614121200,42.5,44.1,44.65,38.6,789799
1614207600,44.72,44.2,46.1,43.81,317621
1614294000,42.025,42.3,43.29,41,424098
1614553200,41,41.5,42.28,40.2,210318
1614639600,42,39,42,38.3,359147
1614726000,39.45,37.54,40,37.11,295015
1614812400,37.3,37.55,38.7,34.01,656381
1614898800,37.6,37.55,37.79,36,231548
1615158000,38.37,38.1,38.37,36.635,195116
1615244400,37.815,37.8,38.6,37.51,157144
1615330800,37.995,37.36,38.9,37.1,302902
1615417200,37.5,37,37.96,36.55,121184
1615503600,38.1,40,40.8,37.22,720000
1615762800,40.95,41.8,41.9,40.5,173177
1615849200,41.8,40.8,41.805,40.605,144394
1615935600,39.33,41,41.41,39.3,167521
1616022000,41.7,42.01,42.95,41.505,112075
1616108400,41.61,42,42.4,41.15,141594
1616367600,42.01,41.77,42.3,41.25,11971
1616454000,42,41.48,42.005,40.51,100771
1616540400,41.11,41.53,42.4,41.11,77639
1616626800,41.6,41.9,42.42,41.505,508440
1616713200,41.9,42,42.2,41.4,73126
1616968800,42.77,42,42.77,41.61,131763
1617055200,42.69,42.5,42.69,42,26996
1617141600,42.5,42.3,42.7,39.995,344879
1617228000,42.645,42.8,42.8,42.005,147332
1617660000,42.8,43.43,44,42.1,191216
1617746400,43.9,44,44.25,43.555,169724
1617832800,44,44.59,44.61,43.9,167779
1617919200,44.795,45.83,45.99,44.625,227902
1618178400,45.985,46,46.05,45.5,106399
1618264800,46.02,45.76,46.1,45.41,149160
1618351200,45.31,45.99,45.99,45.2,44761
1618437600,45.99,45.9,46.05,45.62,66169
1618524000,45.9,45.9,46.07,45.7,101342
1618783200,45.8,45.5,46.17,45.5,78932
1618869600,43.005,43.35,44.17,39.51,414115
1618956000,42.995,43.03,43.28,42.24,76038
1619042400,43.03,43.1,44,43.03,275437
1619128800,43.1,43.9,43.9,43.1,33726
1619388000,43.89,43,43.89,42,87443
1619474400,43.05,42.79,43.195,42.22,68026
1619560800,42.99,42.9,43.1,42.12,54229
1619647200,42.95,41.6,42.95,40.715,203976
1619733600,40.205,41.99,42,39.02,219884
1620079200,41,41.94,42,40.035,140511
1620165600,40.56,41.48,41.95,40.56,99628
1620252000,41.5,41.4,41.895,41,120833
1620338400,41.2,41,41.47,40.1,133667
1620597600,40.895,40.45,41.005,39.8,294843
1620684000,40,39.835,40.18,39.21,182749
1620770400,39.8,41,41.17,39.795,330288
1620856800,40.005,39.4,41,39.4,146548
1620943200,40.8,40.5,40.8,39.195,28583
1621202400,40.8,40,40.8,39.61,36783
1621288800,40.485,39.75,40.485,39.7,19720
1621375200,39.75,38.86,39.75,38.73,25749
1621461600,38.86,39.5,39.5,38.7,31969
1621548000,40,39.8,40.17,39.515,46857
1621807200,39.62,39.99,40,39.62,12431
1621893600,39.62,38.85,39.995,38.72,39856
1621980000,37.975,39.065,39.84,37,86773
1622066400,39.39,36.33,39.4,36.33,373473
1622152800,37.53,36.6,38.69,36.55,374055
1622412000,36.6,37.68,37.68,36.6,30466
1622498400,37.67,37.5,37.67,37,27615
1622584800,37.5,39.2,39.25,36.5,71028
1622757600,39.17,38,39.17,37.505,21753
1623016800,38,38.1,38.8,38,45954
1623103200,38.15,38.9,38.9,38,35799
1623189600,38.9,37.4,38.9,37.4,16598
1623276000,37.115,37.13,38.3,37.01,15218
1623362400,37.01,37.3,37.3,36.815,50563
1623621600,37,36.9,37.2,36.8,30559
1623708000,37,36.8,37.095,36.205,29758
1623794400,36,36.19,36.9,35.55,42666
1623880800,36.5,35,36.5,34.305,85477
1623967200,35.3,38.9,38.9,34.9,384506
1624226400,37.7,37.5,38,37,132183
1624312800,37.17,38.5,38.835,37.17,43810
1624399200,38.495,37.99,38.495,37.5,77687
1624485600,37.975,37.9,38.56,37.53,83079
1624572000,37.06,37.63,38.295,37.06,95244
1624831200,37.22,36.66,37.5,36.5,32955
1624917600,36.605,36.6,36.95,35.965,160351
1625004000,36.6,37.25,37.25,35.17,204003
1625090400,37.25,36.99,37.625,36.5,16009
1625176800,37.5,38.08,38.3,37.105,40292
1625436000,38,37.55,38,37.5,5983
1625522400,37.2,37.55,37.94,37.2,32532
1625608800,37.865,37.51,37.87,37.5,16495
1625695200,37.5,36.405,37.5,36,29236
1625781600,36,36.965,36.975,35.4,93147
1626040800,35.205,35.525,36.28,35.205,39755
1626127200,36.015,36.96,36.96,36,21819
1626213600,37,36.7,37,36.35,21533
1626300000,36.7,36.6,36.7,36.4,5407
1626386400,37,37.25,37.25,36.4,15384
1626645600,36.905,36.665,36.905,35.82,33580
1626732000,35.7,36.9,36.95,35.7,65202
1626818400,36.9,37.365,37.365,36.7,18098
1626904800,37.2,37.25,37.25,36.7,12042
1626991200,37.195,37.25,37.25,36.3,23005
1627250400,37,36.7,37,36.415,42367
1627336800,36.5,37.175,37.195,36.5,34683
1627423200,37,37,37.15,36.905,15520
1627509600,37,37.1,37.1,36.82,28671
1627596000,37,37.2,37.2,36.625,52133
1627855200,37,37.1,37.2,37,14548
1627941600,36.975,36.7,37.1,36.7,115897
1628028000,36.65,37,37,36.355,23315
1628114400,36.46,37.2,37.2,36.46,35179
1628200800,37,36.85,37.2,36.53,20405
1628460000,36.85,36.9,37.18,36.44,32175
