t,o,c,h,l,v
1532556000,18,17.5,18,15,6899
1532642400,17.5,17.47,17.5,16.68,172
1532901600,17.47,17.47,17.47,16.21,813
1532988000,16.98,16.2,16.98,16.2,1167
1533074400,16.9,16.97,16.97,16.9,8923
1533160800,17,17,17,17,18
1533247200,17.47,17.47,17.47,16,5404
1533506400,17.47,17.47,17.47,16.3,5051
1533592800,17.47,17.47,17.47,16.99,25644
1533679200,17.47,17.47,17.47,17.47,2
1533765600,17.47,17.47,17.47,17.47,2
1533852000,17.47,17.47,17.47,17.47,1
1534111200,17.47,17.47,17.47,17.47,2
1534197600,17.47,17.45,17.47,16.7,402
1534370400,17.44,17.44,17.44,17.44,2
1534456800,17.44,17.44,17.44,17.44,2
1534716000,17.44,17,17.44,16.3,23
1534802400,17.44,17.44,17.44,17.44,2
1534888800,17.44,17.44,17.44,17.44,1
1534975200,17.44,17.44,17.44,17.44,2
1535061600,17.44,17.3,17.44,16,615
1535320800,17.44,17.44,17.44,17.44,1
1535407200,17.44,17.44,17.44,17.44,1
1535493600,17.44,17.2,17.44,16.1,582
1535580000,17.4,16.6,17.4,16.6,383
1535666400,17.4,17.1,17.4,16.7,911
1535925600,17.4,17.4,17.4,17.05,36
1536012000,17.4,17.45,17.45,17.12,232
1536098400,17.45,17.3,17.5,17.15,761
1536184800,0,17.3,17.3,17.3,0
1536271200,17.5,17.4,17.5,17.4,481
1536530400,17.2,17.2,17.2,17.2,10
1536616800,17.2,17.2,17.2,17.2,1
1536703200,17.2,17.2,17.2,17.2,1
1536789600,17.2,17.2,17.2,17.2,1
1536876000,17.2,17.2,17.2,17.2,1
1537135200,17.1,17.1,17.1,16.4,372
1537221600,17.1,17.1,17.1,17.1,1
1537308000,17,17,17,17,1
1537394400,17,17,17,17,1
1537480800,17.1,16.8,17.1,15.88,1222
1537740000,16.8,16.8,16.8,16.8,1
1537826400,16.8,16.3,16.8,16.3,727
1537912800,16.8,16.8,16.8,15.9,22
1537999200,16.8,16.8,16.8,16.8,1
1538085600,16.8,16.8,16.8,16.8,2
1538344800,16.8,16.8,16.8,16.4,552
1538431200,16.8,17.1,17.1,16.8,3315
1538517600,17.1,17.09,17.2,17.09,2551
1538604000,16.99,17,17,16.21,1017
1538690400,17,17,17,17,2
1538949600,17,17.01,17.01,17,2
1539036000,16.25,16.9,16.9,16.25,210
1539122400,16.9,16.9,16.9,16.9,1
1539208800,16.9,17,17,16.9,2
1539295200,17,17,17,17,2
1539554400,17,17,17,17,2
1539640800,17,17,17,17,1
1539727200,17,17,17,17,1
1539813600,17,17,17,17,1
1539900000,17,17,17,17,1
1540159200,17,17,17,17,1
1540245600,16.5,17,17,16.5,188
1540332000,17,17,17,16,283
1540418400,17,17,17,16.21,553
1540504800,17,17,17,17,1
1540767600,0,17,17,17,0
1540854000,17,17,17,17,1
1540940400,17,17,17,17,1
1541113200,17,17,17,17,1
1541372400,17,17,17,17,1
1541458800,17,17,17,17,1
1541545200,17,17,17,17,1
1541631600,17,17,17,17,1
1541718000,17,17,17,17,2
1542063600,17,17,17,17,12
1542150000,17,17,17,17,6
1542236400,17,17,17,17,1
1542322800,17,17,17,17,13
1542582000,17,17,17,17,13
1542668400,17,17,17,17,8
1542754800,17,17,17,17,6
1542841200,17,17,17,17,1
1542927600,17,17,17,15.3,400
1543186800,17,17,17,17,2
1543273200,17,17,17,17,1
1543359600,17,17,17,17,2
1543446000,17,17,17,17,2
1543532400,17,17,17,17,2
1543791600,17,17,17,17,1
1543878000,17,17,17,17,1
1543964400,17,17,17,17,11
1544050800,17,17,17,17,8
1544137200,17,17,17,17,1
1544396400,17,17,17,17,10
1544482800,17,16.5,17,16.5,60
1544569200,16.5,16.5,16.5,16.5,2
1544655600,17,17,17,15.78,61
1544742000,17,17,17,17,1
1545001200,0,17,17,17,0
1545087600,16.52,17,17,16.52,485
1545174000,0,17,17,17,0
1545260400,16.9,16.5,16.9,16.1,1362
1545346800,17,17,17,17,55
1545865200,17.1,17.1,17.1,17.1,160
1545951600,17.05,17.1,17.1,17,1692
1546383600,0,17.1,17.1,17.1,0
1546470000,17.1,17.1,17.1,17.1,1500
1546556400,0,17.1,17.1,17.1,0
1546815600,0,17.1,17.1,17.1,0
1546902000,0,17.1,17.1,17.1,0
1546988400,0,17.1,17.1,17.1,0
